station_id,route_key,mp,role,reason,site,station_type,on,at,shs_offset_m,lat,lon
00337,20,40.201,pulled,,00337,P,US 20 MAIN,"Hwy 20/26 (Chinden), 830' East of Eagle Road",0.7,43.6629948909473,-116.351319866582
00332,20,41.19,skip,between 00337 and 00236,00332,P,US 20 MAIN,US 20/26 (Chinden) .14 m East of Cloverdale,0.5,43.6627115918962,-116.331612647126
00236,20,41.782,pulled,,00236,P,US 20 MAIN,"US-20  760 Ft. NW of Five Mile Ext, Boise",0.4,43.6610445400992,-116.320025876966
00338,20,42.073,skip,co-located with 00236,00236,P,US 20 MAIN,"Hwy 20/26 (Chinden), 850' Southeast of Fivemile Road",0.4,43.6601123184826,-116.314379449452
00339,20,43.821,pulled,,00339,P,US 20 MAIN,"Hwy 20/26 (Chinden), 580' Southwest of North Coffey Street",0.1,43.6503570190501,-116.282352530368
00136,20,46.846,skip,between 00339 and 00267,00136,P,US 20 MAIN,"US-20  20 Ft. W of 32nd St, Garden City",0.3,43.621297142121,-116.237397526354
00267,20,47.773,pulled,,00267,P,US 20 MAIN,"US-20  0.4 Mi. E of Boise River Bridge, access from S. 17th & S. 25th",0.6,43.6190383673646,-116.221186739245
00268,20,47.774,pulled,,00267,P,US 20 MAIN,"US-20  0.4 Mi. E of Boise River Bridge,  access from S. 17th & S. 25th",0.6,43.6192070375786,-116.221411890802
00213,20,49.718,pulled,,00213,P,US 20 MAIN,,1.1,43.6028137629418,-116.193492227309
00054,20,99.82,skip,between 00213 and 00017,00054,P,US 20 MAIN,US-20  6.7 Mi. NE of Jct I-84,0.9,43.1941884379084,-115.566061341068
00017,20,241.653,pulled,,00017,P,US 20 MAIN,US-20  3.8 Mi. E of Jct US-93,0.7,43.6099084733969,-113.238818205828
00057,20,292.47,skip,between 00017 and 00131,00057,P,US 20 MAIN,US-20  11.9 Mi. W of Jct I-15,0.5,43.5311077908573,-112.282718811445
00131,20,305.258,pulled,,00131,P,US 20 MAIN,"US-20  0.1 Mi. E of Lindsay Blvd IC, Idaho Falls",1.2,43.5059282597547,-112.051301407515
00076,20,308.171,skip,between 00131 and 00096,00076,P,US 20 MAIN,US-20  0.9 Mi. N of Lewisville Hwy IC (NB),1.2,43.5357320830751,-112.0108709319403
00096,20,317.264,pulled,,00096,P,US 20 MAIN,US-20  .7 Mi. S of US-20 Bus (SB),1.2,43.6510968873771,-111.925940547188
00051,20,322.264,skip,between 00096 and 00232,00051,P,US 20 MAIN,US-20  0.75 Mi. S of Lorenzo IC (SB),1.2,43.7157324394893,-111.883442275069
00232,20,366.196,pulled,,00232,P,US 20 MAIN,US-20  0.17 Mi S of Sheep Falls Rd,0.8,44.1924456888925,-111.445796232983
00032,20,373.563,skip,next to 00232,00032,P,US 20 MAIN,US-20  16.5 Mi. N of Jct SH-47,1.1,44.2956742809941,-111.457511512915
00026,200,6.162,pulled,,00026,P,SH 200 MAIN,SH-200  6.2 Mi. E of Jct US-95,0.9,48.3232417458861,-116.43974717728
